Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Outlet_Age
Low Fat,FDA15,249.8092,3735.138,Dairy,0.016047301,12.279884597102376,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Regular,DRC01,48.2692,443.4228,Soft Drinks,0.019278216,13.56733668803163,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
Low Fat,FDN15,141.618,2097.27,Meat,0.016760075,11.1,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Regular,FDX07,182.095,732.38,Fruits and Vegetables,0.0,10.300034377915747,1998,OUT010,Tier 3,Small,Grocery Store,21
Low Fat,NCD19,53.8614,994.7052,Household,0.0,9.1,1987,OUT013,Tier 3,Small,Supermarket Type1,32
Regular,FDP36,51.4008,556.6088,Baking Goods,0.0,7.975,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
Regular,FDO10,57.6588,343.5528,Snack Foods,0.012741088999999999,8.195,1987,OUT013,Tier 3,Small,Supermarket Type1,32
Low Fat,FDP10,107.7622,4022.7636,Snack Foods,0.127469857,7.09,1985,OUT027,Tier 3,Medium,Supermarket Type3,34
Regular,FDH17,96.9726,1076.5986,Frozen Foods,0.016687114,6.15,2002,OUT045,Tier 2,Small,Supermarket Type1,17
Regular,FDU28,187.8214,4710.535,Frozen Foods,0.09444959,6.445,2007,OUT017,Tier 2,Small,Supermarket Type1,12
Low Fat,FDY07,45.5402,1516.0266,Fruits and Vegetables,0.0,16.65449351099913,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Regular,FDA03,144.1102,2187.153,Dairy,0.045463773,14.35,1997,OUT046,Tier 1,Small,Supermarket Type1,22
Regular,FDX32,145.4786,1589.2646,Fruits and Vegetables,0.1000135,7.090000085686253,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Regular,FDS46,119.6782,2145.2076,Snack Foods,0.047257328,15.15,1997,OUT046,Tier 1,Small,Supermarket Type1,22
Low Fat,FDF32,196.4426,1977.4260000000002,Fruits and Vegetables,0.06802430000000001,8.556169687059342,1987,OUT013,Tier 3,Small,Supermarket Type1,32
Regular,FDP49,56.3614,1547.3192,Breakfast,0.06908896099999999,14.85,1997,OUT046,Tier 1,Small,Supermarket Type1,22
Low Fat,NCB42,115.3492,1621.8888,Health and Hygiene,0.008596051,7.975,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
Regular,FDP49,54.3614,718.3982,Breakfast,0.06919637599999999,5.985,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Low Fat,DRI11,113.2834,2303.6679999999997,Hard Drinks,0.034237682,13.350085492535122,1985,OUT027,Tier 3,Medium,Supermarket Type3,34
Low Fat,FDU02,230.5352,2748.4224,Dairy,0.10249212,9.195,2004,OUT035,Tier 2,Small,Supermarket Type1,15
Regular,FDN22,250.8724,3775.086,Snack Foods,0.138190277,14.3,1987,OUT013,Tier 3,Small,Supermarket Type1,32
Regular,FDW12,144.5444,4064.0432,Baking Goods,0.035399923,7.445,1985,OUT027,Tier 3,Medium,Supermarket Type3,34
Low Fat,NCB30,196.5084,1587.2672,Household,0.025698133999999997,20.6,2004,OUT035,Tier 2,Small,Supermarket Type1,15
Low Fat,FDC37,107.6938,214.3876,Baking Goods,0.057556998,8.195,1985,OUT019,Tier 1,Small,Grocery Store,34
Regular,FDR28,165.021,4078.025,Frozen Foods,0.025896485,9.8,1997,OUT046,Tier 1,Small,Supermarket Type1,22
Low Fat,NCD06,45.906000000000006,838.908,Household,0.099887103,9.62869846655499,2007,OUT017,Tier 2,Small,Supermarket Type1,12
Regular,FDV10,42.3112,1065.28,Snack Foods,0.06669343700000001,19.952948035251552,2004,OUT035,Tier 2,Small,Supermarket Type1,15
Low Fat,DRJ59,39.1164,308.9312,Hard Drinks,0.019356131999999998,15.837965993794782,1987,OUT013,Tier 3,Small,Supermarket Type1,32
Regular,FDE51,45.5086,178.4344,Dairy,0.161466534,13.300000918072078,1998,OUT010,Tier 3,Small,Grocery Store,21
Regular,FDC14,43.6454,125.8362,Canned,0.072221801,9.05872169711133,1985,OUT019,Tier 1,Small,Grocery Store,34
Low Fat,FDV38,55.7956,163.7868,Dairy,0.17034855100000001,20.6,1998,OUT010,Tier 3,Small,Grocery Store,21
Low Fat,NCS17,96.4436,2741.7644,Health and Hygiene,0.080829372,7.445,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
Low Fat,FDP33,256.6672,3068.0064,Snack Foods,0.0,15.699999704915236,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
Low Fat,FDO23,93.1436,2174.5028,Breads,0.0,19.7,2002,OUT045,Tier 2,Small,Supermarket Type1,17
Low Fat,DRH01,174.8738,2085.2856,Soft Drinks,0.097904029,18.0,1997,OUT046,Tier 1,Small,Supermarket Type1,22
Low Fat,NCX29,146.7102,3791.0652,Health and Hygiene,0.08929113699999999,11.1,1999,OUT049,Tier 1,Small,Supermarket Type1,20
Regular,FDV20,128.0678,2797.6916,Fruits and Vegetables,0.059511812000000004,12.300000205993687,1985,OUT027,Tier 3,Medium,Supermarket Type3,34
Regular,DRZ11,122.5388,1609.9044,Soft Drinks,0.113123893,11.65,2009,OUT018,Tier 3,Medium,Supermarket Type2,10
