DATE,T5YIE
2013-01-02,2.12
2013-01-03,2.11
2013-01-04,2.13
2013-01-07,2.16
2013-01-08,2.15
2013-01-09,2.18
2013-01-10,2.20
2013-01-11,2.18
2013-01-14,2.12
2013-01-15,2.20
2013-01-16,2.18
2013-01-17,2.19
2013-01-18,2.20
2013-01-21,.
2013-01-22,2.15
2013-01-23,2.21
2013-01-24,2.22
2013-01-25,2.21
2013-01-28,2.24
2013-01-29,2.27
2013-01-30,2.26
2013-01-31,2.33
2013-02-01,2.34
2013-02-04,2.32
2013-02-05,2.32
2013-02-06,2.32
2013-02-07,2.29
2013-02-08,2.21
2013-02-11,2.26
2013-02-12,2.20
2013-02-13,2.26
2013-02-14,2.22
2013-02-15,2.19
2013-02-18,.
2013-02-19,2.20
2013-02-20,2.19
2013-02-21,2.19
2013-02-22,2.20
2013-02-25,2.19
2013-02-26,2.18
2013-02-27,2.18
2013-02-28,2.18
2013-03-01,2.20
2013-03-04,2.22
2013-03-05,2.26
2013-03-06,2.27
2013-03-07,2.22
2013-03-08,2.18
2013-03-11,2.28
2013-03-12,2.27
2013-03-13,2.29
2013-03-14,2.31
2013-03-15,2.30
2013-03-18,2.26
2013-03-19,2.25
2013-03-20,2.25
2013-03-21,2.22
2013-03-22,2.23
2013-03-25,2.24
2013-03-26,2.21
2013-03-27,2.22
2013-03-28,2.24
2013-03-29,.
2013-04-01,2.23
2013-04-02,2.22
2013-04-03,2.18
2013-04-04,2.13
2013-04-05,2.10
2013-04-08,2.14
2013-04-09,2.06
2013-04-10,2.10
2013-04-11,2.12
2013-04-12,2.11
2013-04-15,2.02
2013-04-16,2.02
2013-04-17,1.98
2013-04-18,2.00
2013-04-19,2.04
2013-04-22,2.04
2013-04-23,2.04
2013-04-24,2.07
2013-04-25,2.12
2013-04-26,2.11
2013-04-29,2.10
2013-04-30,2.06
2013-05-01,1.98
2013-05-02,1.99
2013-05-03,2.03
2013-05-06,2.05
2013-05-07,2.05
2013-05-08,2.03
2013-05-09,2.02
2013-05-10,2.05
2013-05-13,2.02
2013-05-14,2.03
2013-05-15,2.01
2013-05-16,1.97
2013-05-17,1.98
